Algorithm,AUC_Mean,AUC_Std,AUC_CI_Lower,AUC_CI_Upper,AUC_Formatted,Accuracy_Mean,Accuracy_Std,Accuracy_CI_Lower,Accuracy_CI_Upper,Accuracy_Formatted,F1_Mean,F1_Std,F1_CI_Lower,F1_CI_Upper,F1_Formatted
Random Forest,62.785185185185185,7.388799673543722,57.49955631175129,68.07081405861908,"62.79 ± 7.39 (57.50, 68.07)",73.5,5.4687665343665435,69.58788009240297,77.41211990759703,"73.50 ± 5.47 (69.59, 77.41)",70.96152748196374,5.305770708881165,67.16600776377496,74.75704720015253,"70.96 ± 5.31 (67.17, 74.76)"
AdaBoost,58.81481481481482,6.209569734462389,54.37275622205097,63.25687340757867,"58.81 ± 6.21 (54.37, 63.26)",73.33333333333334,3.333333333333335,70.9488103133722,75.71785635329448,"73.33 ± 3.33 (70.95, 75.72)",68.55887136668929,2.9764558749342815,66.42964310118549,70.68809963219309,"68.56 ± 2.98 (66.43, 70.69)"
K-Neighbors,71.34074074074074,6.46578463761619,66.71539704758868,75.9660844338928,"71.34 ± 6.47 (66.72, 75.97)",78.66666666666667,4.956601782932328,75.12092735101191,82.21240598232143,"78.67 ± 4.96 (75.12, 82.21)",77.72247858305779,4.651682744191883,74.39486520753334,81.05009195858224,"77.72 ± 4.65 (74.39, 81.05)"
LDA,61.58518518518518,5.229930393897364,57.84391836007239,65.32645201029798,"61.59 ± 5.23 (57.84, 65.33)",71.83333333333333,4.93475955360055,68.30321900727324,75.36344765939342,"71.83 ± 4.93 (68.30, 75.36)",71.43604161077882,4.152195611342172,68.46573980519072,74.40634341636691,"71.44 ± 4.15 (68.47, 74.41)"
SVM,59.303703703703704,14.127436200152943,49.19754465401463,69.40986275339279,"59.30 ± 14.13 (49.20, 69.41)",74.49999999999999,4.651430153096552,71.17256731725996,77.82743268274001,"74.50 ± 4.65 (71.17, 77.83)",72.58937736926143,4.655013887781565,69.25938103716526,75.9193737013576,"72.59 ± 4.66 (69.26, 75.92)"
Gradient Boosting,63.6,6.778594027621976,58.750885949449305,68.44911405055069,"63.60 ± 6.78 (58.75, 68.45)",75.66666666666666,3.3518006953329675,73.2689328917637,78.06440044156962,"75.67 ± 3.35 (73.27, 78.06)",73.10101656551151,3.511172834992313,70.5892748298811,75.61275830114192,"73.10 ± 3.51 (70.59, 75.61)"
