Algorithm,AUC_Mean,AUC_Std,AUC_CI_Lower,AUC_CI_Upper,AUC_Formatted,Accuracy_Mean,Accuracy_Std,Accuracy_CI_Lower,Accuracy_CI_Upper,Accuracy_Formatted,F1_Mean,F1_Std,F1_CI_Lower,F1_CI_Upper,F1_Formatted
Random Forest,76.61481481481482,4.825129818205539,73.16312487707123,80.06650475255842,"76.61 ± 4.83 (73.16, 80.07)",80.66666666666667,2.3830678432808057,78.961922627537,82.37141070579634,"80.67 ± 2.38 (78.96, 82.37)",78.92623253707748,2.091189317257518,77.43028581724828,80.42217925690669,"78.93 ± 2.09 (77.43, 80.42)"
AdaBoost,69.04444444444445,3.7751867173426206,66.34383855479795,71.74505033409095,"69.04 ± 3.78 (66.34, 71.75)",77.83333333333334,3.6893239368631106,75.19414997667023,80.47251668999645,"77.83 ± 3.69 (75.19, 80.47)",75.73584192934581,3.1598320770842214,73.47543423124013,77.99624962745149,"75.74 ± 3.16 (73.48, 78.00)"
K-Neighbors,74.60740740740741,4.38350540622404,71.47163654262782,77.743178272187,"74.61 ± 4.38 (71.47, 77.74)",79.83333333333333,4.040688121326263,76.94279918079754,82.72386748586912,"79.83 ± 4.04 (76.94, 82.72)",78.66374074107641,4.587141195178857,75.38229760836161,81.94518387379121,"78.66 ± 4.59 (75.38, 81.95)"
LDA,69.31851851851852,3.5040508271655915,66.81187156037146,71.82516547666557,"69.32 ± 3.50 (66.81, 71.83)",78.66666666666667,2.4595492912420744,76.90721109555793,80.42612223777542,"78.67 ± 2.46 (76.91, 80.43)",75.29050489624414,3.005747168902314,73.14032290131497,77.44068689117331,"75.29 ± 3.01 (73.14, 77.44)"
SVM,70.66666666666666,5.937848089412281,66.4189860291959,74.91434730413741,"70.67 ± 5.94 (66.42, 74.91)",72.33333333333334,4.3885372573625565,69.19396289909191,75.47270376757477,"72.33 ± 4.39 (69.19, 75.47)",71.61191670159174,2.9735394838317863,69.48477469660367,73.73905870657981,"71.61 ± 2.97 (69.48, 73.74)"
Gradient Boosting,73.85925925925928,6.1515137795681145,69.4587313947628,78.25978712375576,"73.86 ± 6.15 (69.46, 78.26)",79.16666666666667,4.101339738953723,76.2327449606017,82.10058837273164,"79.17 ± 4.10 (76.23, 82.10)",77.40726376251872,3.6549161427583505,74.79269425898828,80.02183326604917,"77.41 ± 3.65 (74.79, 80.02)"
